date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;Sonstige;Befragte;Zeitraum;Institut
19.10.2014;42 %;24 %;9 %;3 %;9 %;7 %;6 %;2.778;09.10.–15.10.;emnid
11.10.2014;42 %;24 %;10 %;2 %;8 %;8 %;6 %;2.323;02.10.–08.10.;emnid
05.10.2014;41 %;24 %;10 %;2 %;9 %;9 %;5 %;2.753;25.09.–01.10.;emnid
28.09.2014;40 %;25 %;9 %;2 %;10 %;8 %;6 %;2.760;18.09.–24.09.;emnid
21.09.2014;40 %;25 %;9 %;3 %;9 %;8 %;6 %;2.319;11.09.–17.09.;emnid
14.09.2014;41 %;25 %;9 %;3 %;9 %;7 %;6 %;2.285;04.09.–10.09.;emnid
07.09.2014;42 %;25 %;9 %;3 %;10 %;6 %;5 %;2.766;28.08.–03.09.;emnid
31.08.2014;43 %;26 %;9 %;3 %;9 %;5 %;5 %;2.418;21.08.–27.08.;emnid
24.08.2014;41 %;26 %;10 %;4 %;9 %;4 %;6 %;3.215;14.08.–20.08.;emnid
17.08.2014;41 %;27 %;10 %;3 %;9 %;4 %;6 %;1.865;07.08.–13.08.;emnid
10.08.2014;41 %;27 %;9 %;3 %;9 %;5 %;6 %;2.802;31.07.–06.08.;emnid
03.08.2014;42 %;25 %;10 %;3 %;9 %;5 %;6 %;1.940;24.07.–30.07.;emnid
27.07.2014;41 %;25 %;10 %;3 %;10 %;5 %;6 %;2.762;17.07.–23.07.;emnid
20.07.2014;40 %;26 %;10 %;3 %;9 %;5 %;7 %;2.414;10.07.–16.07.;emnid
13.07.2014;40 %;25 %;11 %;3 %;9 %;5 %;7 %;2.258;03.07.–09.07.;emnid
06.07.2014;40 %;25 %;10 %;3 %;9 %;6 %;7 %;2.287;27.06.–02.07.;emnid
29.06.2014;40 %;25 %;10 %;3 %;9 %;7 %;6 %;2.287;19.06.–25.06.;emnid
22.06.2014;39 %;25 %;10 %;4 %;9 %;7 %;6 %;1.845;12.06.–17.06.;emnid
15.06.2014;39 %;25 %;11 %;4 %;10 %;6 %;5 %;2.311;05.06.–11.06.;emnid
08.06.2014;39 %;25 %;10 %;3 %;10 %;7 %;6 %;2.299;28.05.–04.06.;emnid
01.06.2014;39 %;25 %;10 %;4 %;10 %;6 %;6 %;2.311;22.05.–27.05.;emnid
25.05.2014;39 %;24 %;10 %;5 %;10 %;6 %;6 %;2.312;15.05.–21.05.;emnid
18.05.2014;39 %;25 %;10 %;5 %;10 %;6 %;5 %;2.791;08.05.–14.05.;emnid
11.05.2014;40 %;25 %;11 %;4 %;9 %;5 %;6 %;2.306;30.04.–07.05.;emnid
04.05.2014;40 %;25 %;10 %;4 %;10 %;5 %;6 %;2.203;24.04.–29.04.;emnid
27.04.2014;41 %;24 %;10 %;4 %;10 %;5 %;6 %;1.859;17.04.–23.04.;emnid
20.04.2014;40 %;25 %;10 %;4 %;9 %;6 %;6 %;2.313;10.04.–16.04.;emnid
13.04.2014;42 %;23 %;9 %;4 %;10 %;6 %;6 %;2.327;03.04.–09.04.;emnid
06.04.2014;41 %;24 %;10 %;3 %;10 %;6 %;6 %;2.271;27.03.–02.04.;emnid
30.03.2014;41 %;25 %;11 %;3 %;10 %;5 %;5 %;2.380;20.03.–26.03.;emnid
23.03.2014;41 %;25 %;10 %;3 %;10 %;5 %;6 %;2.762;13.03.–19.03.;emnid
16.03.2014;41 %;24 %;11 %;4 %;10 %;5 %;5 %;2.780;06.03.–12.03.;emnid
09.03.2014;42 %;23 %;10 %;3 %;10 %;5 %;7 %;2.304;27.02.–05.03.;emnid
02.03.2014;40 %;24 %;10 %;4 %;10 %;5 %;7 %;2.763;20.02.–26.02.;emnid
23.02.2014;41 %;24 %;10 %;4 %;10 %;5 %;6 %;2.421;13.02.–19.02.;emnid
16.02.2014;41 %;24 %;11 %;4 %;10 %;5 %;5 %;2.388;06.02.–12.02.;emnid
09.02.2014;42 %;25 %;10 %;4 %;9 %;4 %;6 %;2.301;30.01.–05.02.;emnid
02.02.2014;42 %;25 %;9 %;4 %;10 %;4 %;6 %;2.295;23.01.–29.01.;emnid
26.01.2014;41 %;26 %;9 %;5 %;9 %;4 %;6 %;2.772;16.01.–22.01.;emnid
19.01.2014;41 %;26 %;8 %;4 %;10 %;5 %;6 %;2.305;09.01.–15.01.;emnid
12.01.2014;42 %;25 %;9 %;4 %;9 %;5 %;6 %;1.402;04.01.–08.01.;emnid
22.12.2013;41 %;25 %;9 %;4 %;9 %;5 %;7 %;2.346;12.12.–18.12.;emnid
15.12.2013;42 %;25 %;9 %;4 %;9 %;5 %;6 %;1.901;05.12.–11.12.;emnid
08.12.2013;42 %;26 %;9 %;3 %;9 %;5 %;6 %;2.291;28.11.–04.12.;emnid
01.12.2013;41 %;26 %;9 %;4 %;9 %;5 %;6 %;2.389;21.11.–27.11.;emnid
24.11.2013;42 %;25 %;10 %;3 %;9 %;5 %;6 %;2.204;14.11.–20.11.;emnid
17.11.2013;41 %;25 %;10 %;3 %;9 %;5 %;7 %;2.765;07.11.–13.11.;emnid
10.11.2013;41 %;26 %;10 %;3 %;9 %;5 %;6 %;2.296;31.10.–06.11.;emnid
03.11.2013;42 %;25 %;9 %;3 %;9 %;5 %;7 %;2.768;24.10.–30.10.;emnid
27.10.2013;41 %;26 %;10 %;3 %;9 %;5 %;6 %;3.219;17.10.–23.10.;emnid
20.10.2013;42 %;25 %;9 %;3 %;10 %;5 %;6 %;2.334;10.10.–16.10.;emnid
13.10.2013;42 %;25 %;9 %;3 %;10 %;6 %;5 %;1.833;04.10.–09.10.;emnid
06.10.2013;42 %;25 %;8 %;4 %;9 %;6 %;6 %;1.849;26.09.–01.10.;emnid
29.09.2013;43 %;26 %;7 %;3 %;9 %;6 %;6 %;1.382;24.09.–26.09.;emnid
