date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;PIRATEN;FW;AfD;Sonstige;Befragte;Zeitraum;Institut
09.11.2015;34 %;24 %;10 %;6 %;11 %;–;–;10 %;5 %;O • 2.017;06.11.–09.11.;insa
02.11.2015;35,5 %;24,5 %;10 %;5,5 %;10 %;–;–;8 %;6,5 %;O • 2.173;30.10.–02.11.;insa
27.10.2015;35 %;24,5 %;11 %;4,5 %;9,5 %;–;–;8,5 %;7 %;O • 2.196;23.10.–26.10.;insa
19.10.2015;37 %;25 %;9,5 %;5 %;9,5 %;–;–;7,5 %;6,5 %;O • 2.173;16.10.–19.10.;insa
12.10.2015;38 %;24,5 %;10 %;5 %;9 %;–;–;6,5 %;7 %;O • 2.190;09.10.–12.10.;insa
06.10.2015;39 %;24 %;9,5 %;5 %;10 %;–;–;6 %;6,5 %;O • 2.183;02.10.–05.10.;insa
28.09.2015;38,5 %;23,5 %;10,5 %;4 %;10,5 %;–;–;6 %;7 %;O • 2.201;25.09.–28.09.;insa
21.09.2015;39,5 %;24,5 %;9,5 %;4 %;10 %;–;–;6 %;6,5 %;O • 2.187;18.09.–21.09.;insa
14.09.2015;40 %;24 %;10 %;4 %;9,5 %;–;–;5,5 %;7 %;O • 2.172;11.09.–14.09.;insa
08.09.2015;41,5 %;24 %;10,5 %;4 %;9,5 %;–;–;5 %;5,5 %;O • 2.151;04.09.–07.09.;insa
31.08.2015;41,5 %;23,5 %;10 %;4 %;9,5 %;–;–;4,5 %;7 %;O • 2.169;28.08.–31.08.;insa
26.08.2015;42 %;23,5 %;10,5 %;4 %;9,5 %;–;–;3,5 %;7 %;O • 2.169;21.08.–24.08.;insa
17.08.2015;41 %;24,5 %;11 %;4,5 %;9 %;–;–;4 %;6 %;O • 2.178;14.08.–17.08.;insa
11.08.2015;42,5 %;23 %;10,5 %;4,5 %;9 %;–;–;4 %;6,5 %;O • 2.161;07.08.–10.08.;insa
03.08.2015;43 %;24,5 %;10 %;4 %;9,5 %;–;–;3 %;6 %;O • 2.166;31.07.–03.08.;insa
28.07.2015;41,5 %;25,5 %;9,5 %;4 %;9,5 %;–;–;3 %;7 %;O • 2.167;24.07.–27.07.;insa
20.07.2015;42 %;25 %;9,5 %;4 %;9,5 %;1,5 %;–;3 %;5,5 %;O • 2.187;17.07.–20.07.;insa
13.07.2015;42 %;25,5 %;9,5 %;4 %;9,5 %;–;–;3,5 %;6 %;O • 2.178;10.07.–13.07.;insa
07.07.2015;43 %;24 %;10 %;4 %;9 %;1 %;–;4 %;5 %;O • 2.189;03.07.–06.07.;insa
30.06.2015;39,5 %;24,5 %;9,5 %;5 %;9,5 %;2 %;–;4,5 %;5,5 %;O • 2.187;26.06.–29.06.;insa
23.06.2015;40 %;25 %;10 %;4 %;9,5 %;–;–;4,5 %;7 %;O • 2.179;19.06.–22.06.;insa
15.06.2015;41 %;24 %;9,5 %;4,5 %;10,5 %;–;–;4,5 %;6 %;O • 2.177;12.06.–15.06.;insa
10.06.2015;40 %;24 %;10 %;5 %;10 %;–;–;5 %;6 %;O • 2.189;05.06.–08.06.;insa
01.06.2015;41 %;25 %;10 %;5 %;8,5 %;–;–;5 %;5,5 %;O • 2.168;29.05.–01.06.;insa
27.05.2015;41 %;24,5 %;9,5 %;5 %;9,5 %;–;–;5,5 %;5 %;O • 2.163;22.05.–25.05.;insa
19.05.2015;40,5 %;24 %;10 %;4,5 %;9,5 %;–;–;5,5 %;6 %;O • 2.175;15.05.–18.05.;insa
13.05.2015;41,5 %;24,5 %;9 %;3 %;9,5 %;–;–;6 %;6,5 %;O • 2.149;08.05.–11.05.;insa
04.05.2015;41 %;25 %;9,5 %;3 %;9,5 %;2 %;–;6 %;4 %;O • 2.148;01.05.–04.05.;insa
27.04.2015;40,5 %;25 %;11 %;3 %;8,5 %;1,5 %;–;6 %;4,5 %;O • 2.169;24.04.–27.04.;insa
21.04.2015;41 %;24,5 %;10 %;3,5 %;9 %;–;–;6,5 %;5,5 %;O • 2.174;17.04.–20.04.;insa
14.04.2015;41 %;23,5 %;10 %;3 %;9,5 %;–;–;6,5 %;6,5 %;O • 2.161;10.04.–13.04.;insa
09.04.2015;42 %;24 %;9 %;3 %;9 %;–;–;6,5 %;6,5 %;O • 2.174;03.04.–07.04.;insa
31.03.2015;43 %;23,5 %;10 %;3 %;9 %;–;–;6 %;5,5 %;O • 1.978;27.03.–30.03.;insa
24.03.2015;41 %;24 %;9,5 %;4 %;9 %;–;–;6,5 %;6 %;O • 2.012;20.03.–23.03.;insa
17.03.2015;41 %;22,5 %;9,5 %;3,5 %;10 %;–;–;7,5 %;6 %;O • 1.998;13.03.–16.03.;insa
11.03.2015;41 %;24,5 %;9,5 %;3 %;9 %;–;–;7,5 %;5,5 %;O • 1.997;06.03.–09.03.;insa
02.03.2015;41 %;24 %;9,5 %;3 %;9 %;–;–;7,5 %;6 %;O • 2.019;27.02.–02.03.;insa
24.02.2015;41 %;24,5 %;9,5 %;3 %;8,5 %;–;–;7,5 %;6 %;O • 1.992;20.02.–23.02.;insa
18.02.2015;42 %;24 %;10 %;3 %;8,5 %;–;–;7 %;5,5 %;O • 2.011;13.02.–17.02.;insa
10.02.2015;40,5 %;25 %;10,5 %;3 %;8,5 %;–;–;7,5 %;5 %;O • 2.005;06.02.–09.02.;insa
02.02.2015;41 %;25 %;10 %;2,5 %;9 %;–;–;7 %;5,5 %;O • 2.013;30.01.–02.02.;insa
26.01.2015;42 %;24 %;10 %;3 %;8,5 %;–;–;7 %;5,5 %;O • 2.005;23.01.–26.01.;insa
20.01.2015;42 %;23 %;10 %;3,5 %;9 %;1,5 %;–;7 %;4 %;O • 2.019;16.01.–19.01.;insa
15.01.2015;43 %;23 %;10 %;2,5 %;9 %;1,5 %;–;7,5 %;3,5 %;O • 2.058;09.01.–12.01.;insa
06.01.2015;42,5 %;24 %;9 %;2 %;9,5 %;–;–;7,5 %;5,5 %;O • 2.036;02.01.–05.01.;insa
16.12.2014;41,5 %;24,5 %;9,5 %;2 %;10 %;–;–;7,5 %;5 %;O • 2.017;12.12.–15.12.;insa
11.12.2014;41 %;24 %;9,5 %;2 %;9,5 %;–;–;8 %;6 %;O • 2.046;05.12.–08.12.;insa
02.12.2014;41,5 %;23 %;9 %;2 %;10 %;–;–;8,5 %;6 %;O • 2.047;28.11.–01.12.;insa
24.11.2014;41 %;24 %;9 %;2,5 %;10,5 %;–;–;7,5 %;5,5 %;O • 1.979;21.11.–24.11.;insa
17.11.2014;40 %;25 %;10 %;2,5 %;10 %;–;–;7 %;5,5 %;O • 2.017;14.11.–17.11.;insa
11.11.2014;41 %;24,5 %;10 %;3,5 %;9 %;–;–;8 %;4 %;O • 2.028;07.11.–10.11.;insa
05.11.2014;41 %;25 %;9 %;2,5 %;9 %;1,5 %;–;8 %;4 %;O • 2.020;03.11.–05.11.;insa
28.10.2014;41 %;24 %;10 %;2 %;9 %;1,5 %;–;8 %;4,5 %;O • 2.003;24.10.–27.10.;insa
21.10.2014;40,5 %;24,5 %;9 %;2,5 %;9 %;1,5 %;–;8 %;5 %;O • 2.005;17.10.–20.10.;insa
13.10.2014;40 %;24 %;10 %;2 %;9 %;–;–;9 %;6 %;O • 2.043;10.10.–13.10.;insa
07.10.2014;39 %;24 %;11 %;3 %;8 %;–;–;8 %;7 %;O • 2.030;03.10.–06.10.;insa
29.09.2014;38,5 %;25 %;11 %;3 %;9,5 %;–;–;8,5 %;4,5 %;O • 2.037;26.09.–29.09.;insa
24.09.2014;39,5 %;24 %;10 %;3 %;9 %;–;–;8 %;6,5 %;O • 2.019;19.09.–22.09.;insa
16.09.2014;39 %;25 %;10 %;3,5 %;9,5 %;–;–;7 %;6 %;O • 2.020;12.09.–15.09.;insa
10.09.2014;39,5 %;23 %;11 %;3,5 %;9 %;2 %;–;6 %;6 %;O • 2.030;05.09.–08.09.;insa
02.09.2014;40 %;25 %;10 %;3 %;10 %;–;–;6 %;6 %;O • 2.036;29.08.–01.09.;insa
27.08.2014;42 %;25 %;10 %;3,5 %;9,5 %;–;–;5 %;5 %;O • 1.998;22.08.–25.08.;insa
20.08.2014;41 %;26 %;10 %;3,5 %;9 %;–;–;5 %;5,5 %;O • 2.005;15.08.–18.08.;insa
13.08.2014;42 %;26 %;9,5 %;3 %;9 %;–;–;5,5 %;5 %;O • 2.006;08.08.–11.08.;insa
05.08.2014;41 %;25 %;9,5 %;3 %;9,5 %;2 %;–;4,5 %;5,5 %;O • 2.032;01.08.–04.08.;insa
29.07.2014;40 %;24,5 %;10,5 %;3,5 %;9 %;1,5 %;–;5 %;6 %;O • 2.014;25.07.–28.07.;insa
23.07.2014;41 %;24 %;10 %;3,5 %;9 %;1,5 %;–;6 %;5 %;O • 2.044;18.07.–21.07.;insa
14.07.2014;40 %;24 %;11 %;3,5 %;9 %;1,5 %;–;6 %;5 %;O • 2.018;11.07.–14.07.;insa
08.07.2014;40 %;25 %;10 %;4 %;9 %;2,5 %;–;5,5 %;4 %;O • 2.033;04.07.–07.07.;insa
30.06.2014;41 %;24 %;10 %;3,5 %;9 %;2 %;–;6 %;4,5 %;O • 2.044;27.06.–30.06.;insa
23.06.2014;40,5 %;24 %;11 %;3 %;9 %;2 %;–;6 %;4,5 %;O • 2.020;20.06.–23.06.;insa
16.06.2014;39,5 %;25 %;11 %;4 %;8,5 %;1,5 %;–;6 %;4,5 %;O • 1.993;13.06.–16.06.;insa
11.06.2014;39 %;24,5 %;11 %;4,5 %;9 %;2 %;–;6,5 %;3,5 %;O • 2.036;06.06.–10.06.;insa
03.06.2014;38 %;26 %;11 %;3,5 %;9 %;2,5 %;–;6 %;4 %;O • 2.014;30.05.–02.06.;insa
27.05.2014;39 %;26 %;10 %;4 %;9 %;2 %;–;6 %;4 %;O • 2.009;23.05.–26.05.;insa
19.05.2014;40 %;25 %;10 %;4 %;9 %;2 %;–;5 %;5 %;O • 2.009;16.05.–19.05.;insa
13.05.2014;40 %;23,5 %;11 %;4 %;10 %;2 %;–;5,5 %;4 %;O • 2.033;09.05.–12.05.;insa
05.05.2014;41 %;25 %;11 %;3 %;9 %;2 %;–;5 %;4 %;O • 2.082;02.05.–05.05.;insa
29.04.2014;41,5 %;24 %;10 %;4,5 %;9 %;2 %;–;5,5 %;3,5 %;O • 2.093;25.04.–28.04.;insa
23.04.2014;41 %;24,5 %;10,5 %;4,5 %;9 %;2 %;–;5 %;3,5 %;O • 2.089;18.04.–21.04.;insa
14.04.2014;40,5 %;23,5 %;10 %;5 %;10 %;2 %;–;5,5 %;3,5 %;O • 2.080;11.04.–14.04.;insa
08.04.2014;41 %;24 %;10 %;4 %;10 %;2 %;–;6 %;3 %;O • 2.085;04.04.–07.04.;insa
01.04.2014;41 %;24,5 %;11 %;3 %;9 %;2 %;–;5 %;4,5 %;O • 2.087;28.03.–31.03.;insa
26.03.2014;41 %;25 %;10 %;4 %;10 %;2 %;–;5 %;3 %;O • 2.088;21.03.–24.03.;insa
19.03.2014;40,5 %;24,5 %;10 %;4 %;10 %;2 %;–;5 %;4 %;O • 2.102;14.03.–17.03.;insa
11.03.2014;41 %;25,5 %;10 %;4 %;8,5 %;2 %;–;5,5 %;3,5 %;O • 2.085;07.03.–10.03.;insa
04.03.2014;41 %;24,5 %;11 %;4 %;9,5 %;2 %;–;5 %;3 %;O • 2.043;28.02.–03.03.;insa
25.02.2014;40,5 %;25,5 %;10 %;4 %;9 %;2,5 %;–;5,5 %;3 %;O • 2.100;21.02.–24.02.;insa
17.02.2014;41 %;25 %;10 %;4 %;10 %;2,5 %;–;5 %;2,5 %;O • 2.080;14.02.–17.02.;insa
11.02.2014;41 %;26 %;9 %;4 %;9,5 %;2 %;–;5 %;3,5 %;O • 2.102;07.02.–10.02.;insa
03.02.2014;41,5 %;25 %;9,5 %;4 %;9 %;2,5 %;–;5 %;3,5 %;O • 2.110;31.01.–03.02.;insa
27.01.2014;41 %;26,5 %;9,5 %;4,5 %;8,5 %;2,5 %;–;4 %;3,5 %;O • 2.079;24.01.–27.01.;insa
22.01.2014;41 %;26 %;9,5 %;4,5 %;9 %;–;–;4 %;6 %;O • 2.096;17.01.–20.01.;insa
13.01.2014;41 %;26 %;10 %;4 %;9,5 %;–;–;4 %;5,5 %;O • 2.083;10.01.–13.01.;insa
06.01.2014;41,5 %;25 %;9 %;4 %;10 %;–;–;5 %;5,5 %;O • 2.067;03.01.–06.01.;insa
17.12.2013;42 %;27 %;9 %;4 %;9 %;–;–;4 %;5 %;O • 2.100;13.12.–16.12.;insa
09.12.2013;42 %;25 %;10 %;4 %;9,5 %;–;–;4,5 %;5 %;O • 2.090;06.12.–09.12.;insa
03.12.2013;42,5 %;24 %;11 %;3,5 %;9,5 %;–;–;4 %;5,5 %;O • 2.093;29.11.–02.12.;insa
27.11.2013;40,5 %;25,5 %;10,5 %;4 %;9 %;–;–;4 %;6,5 %;O • 2.095;22.11.–25.11.;insa
20.11.2013;41 %;25 %;10 %;4 %;9,5 %;–;–;4,5 %;6 %;O • 2.093;15.11.–18.11.;insa
12.11.2013;42 %;25 %;11 %;4 %;8,5 %;–;–;4,5 %;5 %;O • 2.099;06.11.–11.11.;insa
06.11.2013;42 %;26 %;10,5 %;3,5 %;9 %;–;–;4 %;5 %;O • 2.086;01.11.–04.11.;insa
30.10.2013;42 %;26,5 %;10 %;3,5 %;9 %;–;–;4,5 %;4,5 %;O • 2.097;25.10.–28.10.;insa
21.10.2013;43 %;26 %;10 %;3,5 %;8,5 %;–;–;4 %;5 %;O • 2.117;18.10.–21.10.;insa
15.10.2013;42 %;26 %;9 %;4 %;9 %;–;–;6 %;4 %;O • 1.998;11.10.–14.10.;insa
10.10.2013;43 %;25 %;9 %;4 %;9 %;2 %;1 %;5 %;2 %;O • 2.030;08.10.–09.10.;insa
19.09.2013;38 %;28 %;8 %;6 %;9 %;2 %;1 %;5 %;3 %;O • 2.248;15.09.–18.09.;insa
15.09.2013;38 %;27 %;11 %;4 %;8 %;3 %;?;4 %;?;O • 2.132;??.09.–??.09.;insa
09.09.2013;39 %;28 %;11 %;4 %;8 %;3 %;1 %;3 %;3 %;O • 2.132;06.09.–09.09.;insa
02.09.2013;39 %;26 %;13 %;5 %;8 %;3 %;1 %;3 %;2 %;O • 2.135;30.08.–02.09.;insa
26.08.2013;39 %;25 %;14 %;6 %;7 %;3 %;2 %;3 %;1 %;O • 2.128;23.08.–26.08.;insa
20.08.2013;38 %;26 %;15 %;5 %;8 %;3 %;1 %;3 %;1 %;O • 2.122;16.08.–19.08.;insa
13.08.2013;39 %;26 %;14 %;5 %;8 %;2 %;1 %;3 %;2 %;O • 2.121;09.08.–12.08.;insa
05.08.2013;39 %;26 %;14 %;5 %;8 %;2 %;1 %;2 %;3 %;O • 2.131;02.08.–05.08.;insa
30.07.2013;39 %;26 %;15 %;4 %;7 %;2 %;1 %;3 %;3 %;O • 2.128;26.07.–29.07.;insa
23.07.2013;38 %;26 %;15 %;5 %;7 %;2 %;1 %;3 %;3 %;O • 2.132;19.07.–22.07.;insa
16.07.2013;38 %;26 %;15 %;5 %;8 %;2 %;1 %;3 %;2 %;O • 2.122;12.07.–15.07.;insa
09.07.2013;39 %;26 %;14 %;5 %;7 %;2 %;1 %;3 %;3 %;O • 2.125;05.07.–08.07.;insa
01.07.2013;40 %;25 %;15 %;4 %;7 %;2 %;2 %;3 %;2 %;O • 2.121;28.06.–01.07.;insa
24.06.2013;39 %;26 %;16 %;4 %;7 %;2 %;1 %;2 %;3 %;O • 2.129;21.06.–24.06.;insa
19.06.2013;40 %;25 %;15 %;4 %;7 %;3 %;1 %;3 %;2 %;O • 2.317;14.06.–17.06.;insa
11.06.2013;39 %;26 %;14 %;5 %;7 %;2 %;1 %;3 %;3 %;O • 2.005;07.06.–11.06.;insa
04.06.2013;39 %;27 %;15 %;4 %;6 %;3 %;1 %;3 %;2 %;O • 2.633;31.05.–03.06.;insa
01.06.2013;39 %;26 %;14 %;4 %;7 %;3 %;1 %;4 %;2 %;O • 1.025;27.05.–29.05.;insa
27.05.2013;39 %;25 %;14 %;4 %;7 %;2 %;2 %;3 %;4 %;O • 2.019;24.05.–27.05.;insa
22.05.2013;38 %;26 %;13 %;5 %;8 %;2 %;2 %;3 %;3 %;O • 2.009;17.05.–20.05.;insa
17.05.2013;37 %;27 %;14 %;4 %;8 %;3 %;2 %;3 %;2 %;O • 1.023;14.05.–15.05.;insa
13.05.2013;37 %;27 %;15 %;4 %;7 %;3 %;1 %;3 %;3 %;O • 2.015;10.05.–13.05.;insa
07.05.2013;37 %;26 %;15 %;5 %;7 %;3 %;1 %;3 %;3 %;O • 2.044;03.05.–06.05.;insa
29.04.2013;38 %;26 %;16 %;5 %;7 %;2 %;1 %;3 %;2 %;O • 2.000;26.04.–29.04.;insa
22.04.2013;38 %;26 %;15 %;5 %;6 %;2 %;1 %;5 %;2 %;O • 2.030;19.04.–22.04.;insa
21.04.2013;39 %;26 %;14 %;5 %;6 %;2 %;1 %;4 %;3 %;O • 1.030;18.04.–19.04.;insa
16.04.2013;39 %;26 %;15 %;5 %;6 %;3 %;1 %;3 %;2 %;O • 2.018;12.04.–15.04.;insa
09.04.2013;39 %;26 %;16 %;5 %;7 %;2 %;2 %;–;3 %;O • 2.018;05.04.–08.04.;insa
25.03.2013;39 %;27 %;14 %;5 %;8 %;3 %;1 %;–;3 %;O • 2.006;22.03.–25.03.;insa
22.03.2013;40 %;27 %;15 %;5 %;7 %;2 %;1 %;–;3 %;O • 2.011;15.03.–18.03.;insa
12.03.2013;40 %;27 %;16 %;5 %;6 %;2 %;2 %;–;2 %;O • 2.022;08.03.–11.03.;insa
04.03.2013;41 %;26 %;15 %;5 %;7 %;3 %;1 %;–;2 %;O • 2.006;01.03.–04.03.;insa
26.02.2013;40 %;28 %;15 %;5 %;7 %;2 %;1 %;–;2 %;O • 2.028;22.02.–25.02.;insa
19.02.2013;40 %;29 %;15 %;5 %;6 %;2 %;1 %;–;2 %;O • 2.023;15.02.–18.02.;insa
12.02.2013;39 %;29 %;15 %;4 %;6 %;3 %;1 %;–;3 %;O • 2.011;08.02.–11.02.;insa
04.02.2013;40 %;29 %;15 %;4 %;6 %;2 %;2 %;–;2 %;O • 2.017;01.02.–04.02.;insa
29.01.2013;40 %;28 %;15 %;5 %;6 %;3 %;1 %;–;2 %;O • 2.012;25.01.–28.01.;insa
22.01.2013;41 %;27 %;14 %;4 %;7 %;3 %;1 %;–;3 %;O • 1.997;18.01.–21.01.;insa
15.01.2013;39 %;28 %;15 %;4 %;7 %;3 %;2 %;–;2 %;O • 2.023;11.01.–14.01.;insa
07.01.2013;39 %;28 %;14 %;4 %;7 %;3 %;2 %;–;3 %;O • 2.026;04.01.–07.01.;insa
18.12.2012;36 %;29 %;13 %;5 %;7 %;4 %;2 %;–;4 %;O • 2.012;14.12.–17.12.;insa
11.12.2012;37 %;29 %;14 %;4 %;7 %;3 %;2 %;–;4 %;O • 2.020;07.12.–10.12.;insa
04.12.2012;35 %;29 %;15 %;5 %;7 %;4 %;2 %;–;3 %;O • 2.022;30.11.–02.12.;insa
27.11.2012;36 %;29 %;15 %;4 %;7 %;4 %;2 %;–;3 %;O • 2.041;23.11.–26.11.;insa
19.11.2012;38 %;29 %;14 %;4 %;7 %;4 %;2 %;–;2 %;O • 2.019;16.11.–19.11.;insa
13.11.2012;38 %;30 %;14 %;5 %;6 %;4 %;1 %;–;2 %;O • 2.023;09.11.–12.11.;insa
06.11.2012;38 %;30 %;14 %;4 %;6 %;3 %;2 %;–;3 %;O • 2.003;02.11.–05.11.;insa
30.10.2012;37 %;30 %;13 %;4 %;7 %;4 %;2 %;–;3 %;O • 2.034;26.10.–29.10.;insa
23.10.2012;35 %;32 %;13 %;4 %;7 %;4 %;2 %;–;3 %;O • 2.019;19.10.–22.10.;insa
15.10.2012;36 %;31 %;12 %;4 %;7 %;4 %;2 %;–;4 %;O • 2.013;12.10.–15.10.;insa
09.10.2012;36 %;30 %;11 %;5 %;7 %;5 %;2 %;–;4 %;O • 2.006;05.10.–08.10.;insa
02.10.2012;36 %;29 %;13 %;4 %;7 %;5 %;2 %;–;4 %;O • 2.008;28.09.–01.10.;insa
25.09.2012;36 %;30 %;14 %;5 %;6 %;5 %;1 %;–;3 %;O • 2.030;21.09.–24.09.;insa
20.09.2012;36 %;29 %;13 %;4 %;7 %;6 %;1 %;–;4 %;O • 2.039;14.09.–17.09.;insa
11.09.2012;37 %;28 %;14 %;4 %;6 %;6 %;2 %;–;3 %;O • 2.029;07.09.–10.09.;insa
04.09.2012;36 %;29 %;14 %;4 %;6 %;6 %;2 %;–;3 %;O • 2.014;31.08.–03.09.;insa
28.08.2012;35 %;29 %;15 %;4 %;6 %;6 %;2 %;–;3 %;O • 2.020;24.08.–27.08.;insa
21.08.2012;36 %;28 %;15 %;4 %;6 %;7 %;1 %;–;3 %;O • 2.034;17.08.–20.08.;insa
14.08.2012;35 %;30 %;14 %;4 %;6 %;6 %;2 %;–;3 %;O • 2.031;10.08.–13.08.;insa
07.08.2012;36 %;30 %;13 %;5 %;6 %;6 %;2 %;–;2 %;O • 2.046;03.08.–06.08.;insa
02.08.2012;35 %;31 %;15 %;4 %;6 %;6 %;1 %;–;2 %;O • 2.020;27.07.–30.07.;insa
24.07.2012;35 %;30 %;15 %;5 %;6 %;6 %;1 %;–;2 %;O • 2.037;20.07.–23.07.;insa
17.07.2012;36 %;29 %;14 %;4 %;6 %;7 %;2 %;–;2 %;O • 2.020;13.07.–16.07.;insa
10.07.2012;35 %;28 %;14 %;4 %;6 %;8 %;2 %;–;?;O • 2.041;06.07.–09.07.;insa
03.07.2012;35 %;29 %;14 %;4 %;5 %;8 %;2 %;–;3 %;O • 2.021;29.06.–02.07.;insa
25.06.2012;34 %;31 %;14 %;5 %;6 %;7 %;–;–;4 %;O • 1.987;22.06.–25.06.;insa
19.06.2012;35 %;31 %;14 %;5 %;5 %;7 %;–;–;3 %;O • 2.023;15.06.–18.06.;insa
12.06.2012;35 %;31 %;13 %;5 %;5 %;7 %;–;–;4 %;O • 1.999;08.06.–11.06.;insa
05.06.2012;34 %;32 %;14 %;5 %;4 %;7 %;–;–;4 %;O • 2.019;01.06.–04.06.;insa
29.05.2012;33 %;31 %;14 %;5 %;5 %;8 %;–;–;4 %;O • 2.027;25.05.–28.05.;insa
22.05.2012;33 %;32 %;14 %;4 %;6 %;8 %;–;–;3 %;O • 2.013;18.05.–21.05.;insa
15.05.2012;34 %;29 %;14 %;5 %;6 %;9 %;–;–;3 %;O • 2.031;11.05.–14.05.;insa
09.05.2012;35 %;27 %;15 %;5 %;6 %;8 %;–;–;4 %;O • 2.015;04.05.–07.05.;insa
01.05.2012;36 %;27 %;13 %;4 %;7 %;9 %;–;–;4 %;O • 2.098;27.04.–30.04.;insa
23.04.2012;35 %;26 %;15 %;4 %;6 %;10 %;–;–;4 %;O • 2.097;20.04.–23.04.;insa
16.04.2012;36 %;27 %;13 %;4 %;7 %;9 %;–;–;4 %;O • 2.075;13.04.–16.04.;insa
11.04.2012;35 %;28 %;13 %;4 %;7 %;9 %;–;–;4 %;O • 2.100;06.04.–09.04.;insa
03.04.2012;36 %;29 %;14 %;4 %;6 %;8 %;–;–;3 %;O • 2.085;30.03.–02.04.;insa
27.03.2012;36 %;29 %;15 %;4 %;7 %;6 %;–;–;3 %;O • 2.099;23.03.–26.03.;insa
